concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
AZDELTAVOC,AZ Delta vocabulary,Metadata,Vocabulary,Vocabulary,,AZDELTAVOC,2022-07-26,2099-12-31,
AWELLVOC,Awell vocabulary,Metadata,Vocabulary,Vocabulary,,AWELLVOC,2022-07-26,2099-12-31,
