sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
V,V,855,,0.00,APPROVED,EQUAL,Kim Denturck,1634807098503,8532,FEMALE,Gender,MAPS_TO,,Kim Denturck,1634807089839,
O,O,14286,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
M,M,895,,0.00,APPROVED,EQUAL,Kim Denturck,1634807084919,8507,MALE,Gender,MAPS_TO,,Kim Denturck,1634807082169,
,,4637,,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
