sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
HIXVRAGENLIJSTEN_CS00018107_CS00000188,ja,45870,,0.55,APPROVED,EQUAL,Stijn Dupulthys,1679325360047,35817596,Current,Observation,MAPS_TO,,Stijn Dupulthys,1679325358564,
HIXVRAGENLIJSTEN_CS00018104_CS00000188,nooit,164843,,0.49,APPROVED,EQUAL,Stijn Dupulthys,1679325374171,35821337,Never,Observation,MAPS_TO,,Stijn Dupulthys,1679325372290,
HIXVRAGENLIJSTEN_CS00018106_CS00000188,passief,942,,0.56,APPROVED,EQUAL,Stijn Dupulthys,1679325466849,44803739,Passive smoking,Observation,MAPS_TO,,Stijn Dupulthys,1679325464902,
HIXVRAGENLIJSTEN_CS00018105_CS00000188,gestopt,40648,,0.48,APPROVED,EQUAL,Stijn Dupulthys,1679325390253,35822845,Previous,Observation,MAPS_TO,,Stijn Dupulthys,1679325389547,
