sourceCode,sourceName,sourceFrequency
HIXVRAGENLIJSTEN_CS00000188_CS00018104,nooit,164843
HIXVRAGENLIJSTEN_CS00000188_CS00018107,ja,45870
HIXVRAGENLIJSTEN_CS00000188_CS00018105,gestopt,40648
HIXVRAGENLIJSTEN_CS00000188_CS00018106,passief,942
