sourceCode,sourceName,sourceFrequency
Broer,Broer,2
Moeder,Moeder,19080
Kind,Kind,1
Vrouw,Vrouw,2
Partner,Partner,2654
Man,Man,2
Dochter,Dochter,9233
Ouder,Ouder,1
Zoon,Zoon,9984
