concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
G,Public place,Visit,AZDELTA,Visit,S,G,2022-07-28,2099-12-31,
F,Sport,Visit,AZDELTA,Visit,S,F,2022-07-28,2099-12-31,
E,Traffic,Visit,AZDELTA,Visit,S,E,2022-07-28,2099-12-31,
A,Traffic from/to work,Visit,AZDELTA,Visit,S,A,2022-07-28,2099-12-31,
C,Traffic from/to school,Visit,AZDELTA,Visit,S,C,2022-07-28,2099-12-31,
