sourceCode,sourceName,sourceFrequency
HIXVRAGENLIJSTEN_CS00018104_CS00000188,nooit,164843
HIXVRAGENLIJSTEN_CS00018107_CS00000188,ja,45870
HIXVRAGENLIJSTEN_CS00018105_CS00000188,gestopt,40648
HIXVRAGENLIJSTEN_CS00018106_CS00000188,passief,942
