sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MP,NOORDELIJKE MARIANEN,1,,0.59,UNCHECKED,UNREVIEWED,,0,42034688,Slijkenburg,Geography,MAPS_TO,,<auto>,1658924395661,
TR,TURKIJE,1,,0.56,UNCHECKED,UNREVIEWED,,0,42000792,Kijo,Geography,MAPS_TO,,<auto>,1658924395743,
HM,HEARD EN MCDONALDEILANDEN,1,,0.71,UNCHECKED,UNREVIEWED,,0,42072276,McDonald,Geography,MAPS_TO,,<auto>,1658924395751,
BN,BRUNEI,1,,0.76,UNCHECKED,UNREVIEWED,,0,41936092,Brunet,Geography,MAPS_TO,,<auto>,1658924395757,
SM,SAN MARINO,1,,1.00,UNCHECKED,UNREVIEWED,,0,41912350,San Marino,Geography,MAPS_TO,,<auto>,1658924395764,
GA,GABON,1,,0.58,UNCHECKED,UNREVIEWED,,0,42040565,Craigaboney,Geography,MAPS_TO,,<auto>,1658924395788,
KG,KIRGIZIË,1,,0.40,UNCHECKED,UNREVIEWED,,0,41943361,Gizia,Geography,MAPS_TO,,<auto>,1658924395796,
IT,ITALIË,1,,0.50,UNCHECKED,UNREVIEWED,,0,42034672,Sint Odiliënberg,Geography,MAPS_TO,,<auto>,1658924395842,
CL,CHILI,1,,0.71,UNCHECKED,UNREVIEWED,,0,42063375,Chilili,Geography,MAPS_TO,,<auto>,1658924395874,
FM,MICRONESIA,1,,0.63,UNCHECKED,UNREVIEWED,,0,42072403,Micro,Geography,MAPS_TO,,<auto>,1658924395879,
ZW,ZIMBABWE,1,,0.62,UNCHECKED,UNREVIEWED,,0,42036975,Ballynabwee,Geography,MAPS_TO,,<auto>,1658924395898,
KZ,KAZACHSTAN,1,,0.55,UNCHECKED,UNREVIEWED,,0,41944523,Hochstatt,Geography,MAPS_TO,,<auto>,1658924395926,
SD,SOEDAN,1,,0.92,UNCHECKED,UNREVIEWED,,0,42002108,Soeda,Geography,MAPS_TO,,<auto>,1658924395946,
MT,MALTA,1,,1.00,UNCHECKED,UNREVIEWED,,0,42071749,Malta,Geography,MAPS_TO,,<auto>,1658924395950,
MV,MALEDIVEN,1,,0.53,UNCHECKED,UNREVIEWED,,0,41940294,Dives,Geography,MAPS_TO,,<auto>,1658924396039,
BB,BARBADOS,1,,1.00,UNCHECKED,UNREVIEWED,,0,41905388,Barbados,Geography,MAPS_TO,,<auto>,1658924396092,
SO,SOMALIË,1,,0.47,UNCHECKED,UNREVIEWED,,0,42034672,Sint Odiliënberg,Geography,MAPS_TO,,<auto>,1658924396103,
US,VERENIGDE STATEN,1,,0.76,APPROVED,EQUAL,Stijn Dupulthys,1658928629129,42046186,United States,Geography,MAPS_TO,,Stijn Dupulthys,1658928626689,
BT,BHUTAN,1,,0.44,UNCHECKED,UNREVIEWED,,0,42039734,Chute,Geography,MAPS_TO,,<auto>,1658924396114,
SG,SINGAPORE,1,,0.61,UNCHECKED,UNREVIEWED,,0,41899733,Caporanga,Geography,MAPS_TO,,<auto>,1658924396126,
VN,VIETNAM,1,,0.82,UNCHECKED,UNREVIEWED,,0,42066000,Etna,Geography,MAPS_TO,,<auto>,1658924396131,
BA,BOSNIË EN HERZEGOVINA,1,,0.38,UNCHECKED,UNREVIEWED,,0,42005883,Verzegnis,Geography,MAPS_TO,,<auto>,1658924396174,
GU,GUAM,1,,1.00,UNCHECKED,UNREVIEWED,,0,42046220,Guam,Geography,MAPS_TO,,<auto>,1658924396183,
BR,BRAZILIË,1,,0.59,UNCHECKED,UNREVIEWED,,0,42061869,Brazil,Geography,MAPS_TO,,<auto>,1658924396194,
RE,RÉUNION,1,,1.00,UNCHECKED,UNREVIEWED,,0,41931076,Réunion,Geography,MAPS_TO,,<auto>,1658924396235,
DK,DENEMARKEN,1,,0.84,APPROVED,EQUAL,Stijn Dupulthys,1658928570167,41930999,Denmark,Geography,MAPS_TO,,Stijn Dupulthys,1658928569503,
DM,DOMINICA,1,,0.68,UNCHECKED,UNREVIEWED,,0,41917277,Dominion,Geography,MAPS_TO,,<auto>,1658924396335,
BQ,CARIBISCH NEDERLAND,1,,1.00,UNCHECKED,UNREVIEWED,,0,42032181,Caribbean Netherlands,Geography,MAPS_TO,,<auto>,1658924396337,
CG,CONGO-BRAZZAVILLE,1,,0.49,UNCHECKED,UNREVIEWED,,0,41972007,Nazza,Geography,MAPS_TO,,<auto>,1658924396339,
AU,AUSTRALIË,1,,0.46,UNCHECKED,UNREVIEWED,,0,41881976,Austral,Geography,MAPS_TO,,<auto>,1658924396342,
MU,MAURITIUS,1,,0.79,UNCHECKED,UNREVIEWED,,0,41895852,Mauriti,Geography,MAPS_TO,,<auto>,1658924396344,
GQ,EQUATORIAAL-GUINEA,1,,0.48,UNCHECKED,UNREVIEWED,,0,41891675,Orsmaal-Gussenhoven,Geography,MAPS_TO,,<auto>,1658924396394,
TO,TONGA,1,,0.88,UNCHECKED,UNREVIEWED,,0,42001580,Onga,Geography,MAPS_TO,,<auto>,1658924396394,
